"16","出道14年多次试图退圈！饱受身心双压的她到底怎么了？","<p><br></p>","饭爱豆","https://www.jianshu.com/p/013422b10b13","013422b10b13","1","987",
"17","肖战王一博朱一龙追星的样子太真实，仿佛看到了失去大脑的自己","<p>浙江卫视秋季盛典刚举办完，没人讨论舞美和豪华的演出阵容，热搜上挂着的却是#肖战成功追星孙燕姿#的热搜，一夜间仿佛所有人都在恭喜这位迷弟追星成功。而我们的爱豆也不负众望，一向口齿伶俐的肖战哥哥此刻变成了一个只会“啊啊啊啊啊啊！”的小赞。</p>","饭爱豆","https://www.jianshu.com/p/8e89babde332","8e89babde332","52","814",
"18","上弦似的一天161","<p>2018年6月23日！早上还是早早把晨文叫起来！因为我要上班，她10点要上英语课，担她自己在家睡过头，也是因为想让她赶紧写写作业！</p>","成长的爱","https://www.jianshu.com/p/ed683d339b5d","ed683d339b5d","36","236",
"19","情绪下的无序","<p>昨晚的二胎妈妈的无奈，持续的紧张生活，让我自己变的有些烦躁，心一直是静不下来的。静以修身，确实是这样，只有静下心来的时候才能更好的修炼好自己。</p>","俩公主妈","https://www.jianshu.com/p/3af1a1cbddbd","3af1a1cbddbd","16","437",
"20","陈伟霆：知世故而不世故，才是最成熟的善良","<p>1</p>","少女陆sunny","https://www.jianshu.com/p/4bed22c9aad1","4bed22c9aad1","2669","2694","娱乐圈,今日看点,睡前故事,每天写1000字,人物,社会热点"
"21","小说阅读《你的爱比利刃更伤人》陆霆川妙雪芷","<p>直到他带回小三，她这才知道，爱情啊，有多伤人……</p>","帅气阿狐","https://www.jianshu.com/p/283d8229ee7a","283d8229ee7a","216","15034",
"22","使用Vue全家桶+Node.js搭建的小型全栈项目","<p>接触vue框架也有一个多月的时间了，整理下之前做过的一个小demo，主要是熟悉vue全家桶技术，界面布局模仿的是猫眼，数据使用的是豆瓣开发者提供的后台接口。整个过程从搭建脚手架到最后项目打包上线，是一个完整的开发流程，中间涉及到的知识点比较多，也比较零碎，通过这个项目对我自己的知识体系做一个梳理和总结。</p>","视觉派Pie","https://www.jianshu.com/p/953fc5086e34","953fc5086e34","11987","10369","II 极客公园 II,Web前端之路,让前端飞,vue,前端框架,Vue专题,IT必备技能"
"23","都8102年了还不会用手机支付？没想到你是这样的陈伟霆！","<p>由马思纯、陈伟霆主演的电视剧《橙红年代》正在热播当中，剧中陈伟霆扮演的刘子光，因为意外，丧失了八年的记忆，他和李建义饰演的郭大爷一起去买东西，郭大爷就用手机付了钱，这时候失忆的刘子光真的大涨见识啊，竟然还有这种高科技！</p>","饭爱豆","https://www.jianshu.com/p/cb1afd934342","cb1afd934342","31","656",
"24","凌晨4点被暴打的11岁男孩，唤醒我的童年阴影","<p>NBA巨星科比，曾经说过一句话：</p>","槽值","https://www.jianshu.com/p/89d8cee8813a","89d8cee8813a","6646","3838","育儿"
"25","随笔诗","<p>时间<br>
你是否懂<br>
季节的悲伤<br>
可知<br>
日夜交替的烦恼<br>
案上的日历， 已被写满<br>
未来难测</p>","七月文斋","https://www.jianshu.com/p/2380d6a93ac2","2380d6a93ac2","5344","142","粤港澳青年作家...,中国当代实力诗人,中国当代诗人,诗绸之路,给流浪的文字安个家,能感动自己的好...,爱生活爱自己"
"26","相由心生，说得太对了","<p>当你耐下心来，静看生命里的花开花落，体悟贫乏日常背后的每一处惊喜，心情就不会时不时被揪着，脸上的笑容也不会像个提线木偶，僵硬又无聊。</p>","巴克阿伯","https://www.jianshu.com/p/07f3d606d367","07f3d606d367","8809","1492",
"27","深入理解计算机系统cp1：存储单位与编码","<p><strong>摘要：</strong> 理解计算机是如何存储数据的。</p>","Fundebug","https://www.jianshu.com/p/4344091ef0c7","4344091ef0c7","265","1718",
"28","Android WMS（一）-窗口管理","<p>原创内容，转载请注明出处，多谢配合。</p>","Stan_Z","https://www.jianshu.com/p/3b5b6f2469d8","3b5b6f2469d8","2911","1283","Android技术,Android...,Android,安卓,收录的大神文章,Android"
"29","JavaScript 是如何运行的？","<p><strong>摘要：</strong> 理解JS执行原理。</p>","Fundebug","https://www.jianshu.com/p/9be1e63da606","9be1e63da606","578","2876","让前端飞,Web前端之路,Javascript,前端开发那些事,程序猿葵花宝典,待学习"
"30","Fundebug网站升级HTTP/2，真的变快了！","<p>作为新一代的HTTP协议，HTTP/2可以提高网站性能，优化用户体验，<a href=""https://links.jianshu.com/go?to=https%3A%2F%2Fwww.fundebug.com%2F"" target=""_blank"">Fundebug</a>也是时候升级HTTP/2了，虽然已经有点晚了。</p>","Fundebug","https://www.jianshu.com/p/9af9f29e1107","9af9f29e1107","290","1405",
"31","“七料影帝”张家辉：像我这种男人，也只有她配得上？","<p>文/麦大人</p>","麦大人","https://www.jianshu.com/p/7e743c289237","7e743c289237","20981","3335","娱乐圈,婚姻育儿,人物,想法,简书电影,简书热文制造局,【圣殿骑士团】"
"32","捧红林青霞，却得罪金庸30年，这世上也只有他敢","<p>25年前，徐克执导《梁祝》上映，成就了经典IP中的经典。</p>","文化咖","https://www.jianshu.com/p/06c74c8784cd","06c74c8784cd","9412","4711","电影漫谈,简书电影院,【影视歌评】,星火✨,人物"
"33","当“扶弟魔”爱上“凤凰男”（六）","<p>文/婉兮   图/千图网</p>","婉xi","https://www.jianshu.com/p/a3a4b6ba69d4","a3a4b6ba69d4","9421","2538",
"34","196刀刺死闺蜜：盲目的善良，是給自己最大的陷阱","<p><strong>01.</strong></p>","S的魔镜","https://www.jianshu.com/p/5dfce43db68e","5dfce43db68e","25523","2648","热点传达室,思维拓展,蓝莲花文学,生命火种救度与预防,一场无形的战争,故事与干货,人生哲理"
"35","女裁缝苦练35年，小楷堪比王羲之，上央视当劳模，专家：没艺术性","<p>不知从什么时候起，我们发现走传统的路子，都会被一些专家看不起。比如中国写实画派的领军人物冷军，他的绘画水平绝对是天下无敌，因为走的是传统写实的这条路，所以对他的作品评价总是缺乏公正，说什么超写实就是停留在绘画的技艺上，内容没有现代前卫有创作性，是照片的复制没有多少艺术性。就连很多网友也觉得现在都什么年代了，有高清数码相机，还用得了这么费劲花个一年半载去画吗？</p>","陈洪标写字说画","https://www.jianshu.com/p/8e093c36a943","8e093c36a943","23333","1816","艺海,艺术,画作画事儿画人,书法绘画天地,抱琴斋,海阔天空,书法或写字"
"36","什么是自媒体，做自媒体如何挣钱，已经入门的但是没挣到钱的欢迎交流","<p>大家好，今天我给大家讲一下什么是自媒体，以及如何做自媒体挣钱。</p>","光辉岁月99","https://www.jianshu.com/p/c68cde128c39","c68cde128c39","68","1119",
"37","掌握自媒体技巧方法 等月入三万后轻松开工作室","<p>自媒体就是指个人媒体的意思，个人就是一个媒体。就是你可以利用个人信息注册账号发布内容。这就是自媒体</p>","光辉岁月99","https://www.jianshu.com/p/84d5bb370249","84d5bb370249","83","914",
"38","我姐离婚十年","<p>我姐离婚十年     <br></p>","草莓味姑娘","https://www.jianshu.com/p/da139e13adfd","da139e13adfd","723","1202","婚姻育儿,首页投稿"
"39","如何让孩子“恋”上语文","<p>梅子老师简介：<br></p>","沪江中小幼","https://www.jianshu.com/p/98c63076cf50","98c63076cf50","94","1688",
"40","【晨读感悟】 知易行难！","<p><br></p>","超少","https://www.jianshu.com/p/18c1a3844c84","18c1a3844c84","38","683","猫的剽悍江湖写作营,剽悍晨读,剽悍江湖,剽悍一只猫读后感,潜能发掘营 【..."
"41","SQL测试点","<p><b>SQL</b><b>测试方法:</b></p>","邵琼","https://www.jianshu.com/p/c20d66d15a89","c20d66d15a89","118","2696",
"42","自媒体赚钱，自媒体怎么赚钱，自媒体可以赚到钱吗？","<p><b>自媒体赚钱，自媒体怎么赚钱，自媒体可以赚到钱吗？</b></p>","可妮自媒体","https://www.jianshu.com/p/a69ba7f60be7","a69ba7f60be7","664","2142","可妮自媒体,公众号之家,自媒体收藏"
"43","书探：出版界的福尔摩斯","<p>所谓<b>“书探”</b>，顾名思义，即<b>搜寻探索</b>有<b>出版</b>价值的作品和作者。</p>","行距版君","https://www.jianshu.com/p/5bc8de78eb16","5bc8de78eb16","49256","466","简书各大专题征...,芝华,心情杂文,简书福利,创作的路上,谷穗文刊,文学星空"
"44","小米美女总监贪700万被抓：最可怕的，是在欲望的路上裸奔","<p></p>","書酱","https://www.jianshu.com/p/079e11e655b3","079e11e655b3","56380","2683","成长规划,自我疗愈,子木秦收藏,读心术,清风文园,微信公众号【月...,微信公众号【月..."
"45","把她逼疯，满意了吗？","<p>最近，有一个词时不时冲上热搜：私生饭。</p>","Sir电影","https://www.jianshu.com/p/f4ca938cfbbc","f4ca938cfbbc","9018","3112","电影漫谈,简书电影院,电影"
"46","年轻人千万不要干轻松没有压力的工作","<p>自己每天都重复着毫无挑战性的工作，没有领导的“找茬”，上下一团和气，自己安于现状，且津津乐道。</p>","易流黄滨老师","https://www.jianshu.com/p/0958c440d35a","0958c440d35a","2177","581",
"47","华语脏话影帝回归，这次我哭了","<p><b>走好。</b></p>","Sir电影","https://www.jianshu.com/p/c7d6edd33a53","c7d6edd33a53","2729","2809","简书电影院,电影漫谈,电影,【影视歌评】"
"48","为什么被你们吹爆了的《哪吒》，我只看到了满屏的尴尬？","<p>昨天我看了个动画片。片子讲的是一个村里有个小孩子自出生起体内就封印了一股强大的妖力，于是村民们把他当做妖怪，畏惧他，疏远他，避之唯恐不及。他表面上满不在乎，在村子里为非作歹，但内心深处却感到巨大的孤独，极度渴望被世人接纳……</p>","雨天_稻草人","https://www.jianshu.com/p/4a9ae043f527","4a9ae043f527","204514","3290","微信公众号【穆...,简书电影,火柴的故事驿站,人生记录仪，充...,简书阅览室,焦点访谈,直人直言"
"49","《第一炉香》：女人啊，永远不要为了爱情出卖自己","<p>文 | 流觞阵地</p>","書酱","https://www.jianshu.com/p/135e23c58a62","135e23c58a62","369","2160",
"50","“婚姻好不好，卫生间全知道！”","<p>文 | 末日之歌 · 主播 | 佳音</p>","書酱","https://www.jianshu.com/p/d5a0380fcca6","d5a0380fcca6","223","2566",
"51","完美谋杀：谁都知道他杀了人，就是无法将他定罪 | 非正常死亡013","<p><br></p>","苍衣社","https://www.jianshu.com/p/b861e6f7f4da","b861e6f7f4da","13608","8814","故事,连载小说,故事会"
"52","“一年读了200本书，但我感觉没有半点用”","<p>作者：怀左同学</p>","書酱","https://www.jianshu.com/p/360a2fb93730","360a2fb93730","8886","3273","拆书,AG当中的百家...,心术结合之AG...,天晋集团新秘籍,老魏解析百家乐...,彩票输了很多怎...,彩票输了十几个..."
"53","今天，它要刷爆你朋友圈","<p>飘飘又双叒叕真香了。</p>","Sir电影","https://www.jianshu.com/p/a08ac62cc140","a08ac62cc140","4814","2980","不想美擦肩而过"
"54","嫁给大我19岁的大叔，只有12年幸福，老夫少妻，怎样才是出路？","<p><b>作者 | 卢璐</b></p>","卢璐说","https://www.jianshu.com/p/c6fa257f2cbf","c6fa257f2cbf","33774","5925","婚姻育儿,情感生活,抽空细看,君子爱财取之有道,故事大王,成功密码,百赞文集"
"55","男，33岁，月薪1.5W，每天只吃得起2个饭团：恕我直言，赚钱真的不是靠拼命","<p>                                              今天是精读君陪伴你终身成长的第2133天</p>","精读君","https://www.jianshu.com/p/e52c522803be","e52c522803be","41327","2610","投资理财,人生那么长,情感生活,简钻简贝拣消息,收起来，慢慢啃~,百赞文集"
"56","在北上广，2000万豪宅买不到上等人的优越感，只有中产焦虑","<p>只要你在北上广生活，最近难免会看到一条关于马桶的热搜。</p>","傅踢踢","https://www.jianshu.com/p/050cdac16639","050cdac16639","7117","2256",
"57","猫说风来了","<p>最近我家的猫有心事。<br></p>","柠檬黄ps","https://www.jianshu.com/p/f546a8f4f651","f546a8f4f651","310","367","梦话集"
"58","雨中情怀","<p>       七月本该是火热的季节，在熙熙攘攘的人群中，无数的遮阳伞如美丽的花朵遮挡着炙热的阳光。但是今年的七月是多愁善感的，明明是晴空万里，不知哪儿飞来一朵乌云，遮住了热情似火的阳光，瞬间下起了瓢泼似的大雨。纷乱的街道瞬间安静，只留下刷刷的雨声。雨点儿在坚硬的路面激起朵朵小小的浪花。偶尔有一辆车从身旁疾驰而过，溅起路面上的雨水，飞起优美的弧度，泼洒在路沿石上，闪现出耀眼的白光。</p>","媛洋","https://www.jianshu.com/p/258615cada20","258615cada20","277","686",
"59","简书深度使用报告，原来你是这样的简书","<p>关于简书<br></p>","科技Daily","https://www.jianshu.com/p/f4a5471dc473","f4a5471dc473","4848","11120","每周500字,@IT·互联网,简书使用方法,你和简书的故事,首页投稿（暂停...,简书使用技巧,简书介绍"
"60","[玄幻]北冥有鱼（132）出征","<p>镜魔找了妖皇好久，才找到他的人，正有要事相报，却发现圣使、苏夜寻居然跟妖皇在一起，他若揭发圣使，苏夜寻必定会为她作证帮她。镜魔想说的话一下子吞回了肚子里去，只好下次再给圣使“穿小鞋”。</p>","明月怀","https://www.jianshu.com/p/3bc1f15d3172","3bc1f15d3172","507","3288","连载小说,古风,武侠江湖"
"61","关于终止正清文化与行距文化合作的公告","<p>版君这两天有点丧！</p>","行距版君","https://www.jianshu.com/p/80474b714ad6","80474b714ad6","7090","405","写作这件小事"
"62","公告：简书版权中心正式更名为行距文化","<p>版权经纪应该是一件服务作者的工作，出版甚至影视也不是那么可望不可及的事情，简书版权在过去的一年多时间里，一直在致力于拉近作者与编辑的距离，消除其中的陌生与隔阂，为优秀的作品找到优秀的版权合作伙伴，保证利益的最大化。</p>","行距版君","https://www.jianshu.com/p/4bd0e128c6c6","4bd0e128c6c6","6013","371","简书福利,有用的文章,百赞文集"
"63","你知道简书官方标示认证有哪些吗？（三）","<p>七、简书版权认证标示</p>","彭春祥","https://www.jianshu.com/p/42a3e5a00089","42a3e5a00089","2535","7732","首页投稿（暂停...,工具癖,@IT·互联网,简友精华,00~00派诗人,火星人很好奇,火星干货集"
"64","简书官方专题汇总：玩转简书，就是做一道多选题","<p>在内容越来越多的今天，你需要做出一些选择。选择你喜欢的和你感兴趣的并且关注它们，对于你来说，是一个快捷的发现喜欢的内容的途径。</p>","简宝玉","https://www.jianshu.com/p/f6c0b978eb4b","f6c0b978eb4b","70559","201","好文章,实用文,以 笔 为 旗,用,技巧,简书说明,写作"
